unique_id	genome_name	kegg_module	module_name	module_class	module_category	module_subcategory	module_definition	module_completeness	module_is_complete	kofam_hits_in_module	gene_caller_ids_in_module	warnings
20	WATER_MAG_00001	M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K00844,K00845,K12407,K00886) (K01835,K15779,K15778) (K00963,K12447)	0.333333333	FALSE	K00845	43796;58181	None
21	WATER_MAG_00001	M00892	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K00844,K12407,K00845) K01810 K00820 K00621 K01836 K00972	0.5	FALSE	K00845,K01810,K00820	43796;8801;2710;12930;58181	None
22	WATER_MAG_00001	M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K00845 (K01810,K13810,K15916) K00820 K03431 K04042	1	TRUE	K03431,K00845,K04042,K01810,K00820	57966;43796;8208;8801;2710;12930;58181	None
23	WATER_MAG_00001	M00012	Glyoxylate cycle	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01647 (K01681,K01682) K01637 (K01638,K19282) (K00026,K00025,K00024)	0.4	FALSE	K01647,K01682	62954;6424	None
24	WATER_MAG_00001	M00740	Methylaspartate cycle	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01647 K01681 K00031 K00261 K19268+K01846 K04835 K19280 K14449 K19281 K19282 K00024	0.181818182	FALSE	K01647,K00031	62954;13190	None
25	WATER_MAG_00001	M00532	Photorespiration	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K01601-K01602) K19269 K11517 K03781 K14272 K00600 K00830 (K15893,K15919) K15918 K00281+K00605+K00382+K02437	0.5	FALSE	K15918,K02437,K00382,K00600,K01601,K01602,K00605,K00830,K00281	34067;41477;31123;60934;9142;9143;11736;2260;8958;19706;16655;55444	None
26	WATER_MAG_00001	M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01106 K01107 K01109 K01092	0.25	FALSE	K01092	12758	None
27	WATER_MAG_00001	M00165	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules	Energy metabolism	Carbon fixation	K00855 (K01601-K01602) K00927 (K05298,K00150,K00134) (K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01623,K01624) (K01100,K11532,K01086) K00615 (K01807,K01808)	0.818181818	TRUE	K00134,K00615,K00855,K01807,K01601,K01602,K01624,K00927	28527;30143;31633;40073;39087;10031;9142;9143;14516;10040;18644	No KOfam profile for M00165
28	WATER_MAG_00001	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	Pathway modules	Energy metabolism	Carbon fixation	K00855 (K01601-K01602) K00927 (K05298,K00150,K00134)	1	TRUE	K00134,K00855,K01601,K01602,K00927	28527;40073;10031;9142;9143;18644	None
29	WATER_MAG_00001	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	Pathway modules	Energy metabolism	Carbon fixation	(K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01623,K01624) (K01100,K11532,K01086) K00615 (K01807,K01808)	0.714285714	FALSE	K00615,K01807,K01624	30143;31633;39087;14516;10040	None
30	WATER_MAG_00001	M00168	CAM (Crassulacean acid metabolism), dark	Pathway modules	Energy metabolism	Carbon fixation	K01595 (K00025,K00026,K00024)	0.5	FALSE	K01595	13954	None
31	WATER_MAG_00001	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	Pathway modules	Energy metabolism	Carbon fixation	K01595 K00051 K00029 K01006	0.25	FALSE	K01595	13954	None
32	WATER_MAG_00001	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	Pathway modules	Energy metabolism	Carbon fixation	K01595 K14454 K14455 (K00025,K00026) K00028 (K00814,K14272) K01006	0.142857143	FALSE	K01595	13954	None
33	WATER_MAG_00001	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	Pathway modules	Energy metabolism	Carbon fixation	K01595 K14454 K14455 K01610	0.25	FALSE	K01595	13954	None
34	WATER_MAG_00001	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	Pathway modules	Energy metabolism	Carbon fixation	(K00169+K00170+K00171+K00172,K03737) ((K01007,K01006) K01595,K01959+K01960,K01958) K00024 (K01676,K01679,K01677+K01678) (K00239+K00240-K00241-K00242,K00244+K00245-K00246-K00247,K18556+K18557+K18558+K18559+K18560) (K01902+K01903) (K00174+K00175-K00177-K00176) K00031 (K01681,K01682) (K15230+K15231,K15232+K15233 K15234)	0.409090909	FALSE	K00240,K00241,K01682,K01595,K00031,K01679	10276;10278;6424;13954;13190;29288	No KOfam profile for M00173
35	WATER_MAG_00001	M00376	3-Hydroxypropionate bi-cycle	Pathway modules	Energy metabolism	Carbon fixation	(K02160+K01961+K01962+K01963) K14468 K14469 K15052 K05606 (K01847,K01848+K01849) (K14471+K14472) (K00239+K00240+K00241) K01679 K08691 K14449 K14470 K09709	0.185897436	FALSE	K00240,K00241,K02160,K01962,K01963,K01679	10276;10278;10878;3747;11420;29288	No KOfam profile for M00376
36	WATER_MAG_00001	M00374	Dicarboxylate-hydroxybutyrate cycle	Pathway modules	Energy metabolism	Carbon fixation	(K00169+K00170+K00171+K00172) K01007 K01595 K00024 (K01677+K01678) (K00239+K00240-K00241-K18860) (K01902+K01903) (K15038,K15017) K14465 (K14467,K18861) K14534 K15016 K00626	0.115384615	FALSE	K00240,K00241,K01595	10276;10278;13954	None
37	WATER_MAG_00001	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Pathway modules	Energy metabolism	Carbon fixation	K00198 K05299-K15022 K01938 K01491 K00297 K15023 K14138+K00197+K00194	0.285714286	FALSE	K01491,K00297	56279;6497	No KOfam profile for M00377
38	WATER_MAG_00001	M00567	Methanogenesis, CO2 => methane	Pathway modules	Energy metabolism	Methane metabolism	(K00200+K00201+K00202+K00203-K11261+(K00205,K11260,K00204)) K00672 K01499 (K00319,K13942) K00320 (K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584) (K00399+K00401+K00402) (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125))	0.025	FALSE	K00202	10071	None
39	WATER_MAG_00001	M00357	Methanogenesis, acetate => methane	Pathway modules	Energy metabolism	Methane metabolism	((K00925 K00625),K01895) (K00193+K00197+K00194) (K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584) (K00399+K00401+K00402) (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125))	0.2	FALSE	K01895	51455	None
40	WATER_MAG_00001	M00358	Coenzyme M biosynthesis	Pathway modules	Energy metabolism	Methane metabolism	K08097 K05979 K05884 K13039+K06034	0.25	FALSE	K05979	8212	None
41	WATER_MAG_00001	M00346	Formaldehyde assimilation, serine pathway	Pathway modules	Energy metabolism	Methane metabolism	K00600 K00830 K00018 K11529 K01689 K01595 K00024 K08692+K14067 K08691	0.444444444	FALSE	K00600,K01689,K00830,K01595	60934;13823;8958;19706;13954	None
42	WATER_MAG_00001	M00345	Formaldehyde assimilation, ribulose monophosphate pathway	Pathway modules	Energy metabolism	Methane metabolism	(((K08093,K13812) K08094),K13831) (K00850,K16370) K01624	0.333333333	FALSE	K01624	10040	None
43	WATER_MAG_00001	M00344	Formaldehyde assimilation, xylulose monophosphate pathway	Pathway modules	Energy metabolism	Methane metabolism	K17100 K00863 K01624 K03841	0.25	FALSE	K01624	10040	None
44	WATER_MAG_00001	M00531	Assimilatory nitrate reduction, nitrate => ammonia	Pathway modules	Energy metabolism	Nitrogen metabolism	(K00367,K10534,K00372-K00360) (K00366,K17877)	0.5	FALSE	K00366	6411;41172	No KOfam profile for M00531
45	WATER_MAG_00001	M00176	Assimilatory sulfate reduction, sulfate => H2S	Pathway modules	Energy metabolism	Sulfur metabolism	(K13811,K00958+K00860,K00955+K00957,K00956+K00957+K00860) K00390 (K00380+K00381,K00392)	0.833333333	TRUE	K00958,K00392,K00390	40144;44396;18804	No KOfam profile for M00176
46	WATER_MAG_00001	M00596	Dissimilatory sulfate reduction, sulfate => H2S	Pathway modules	Energy metabolism	Sulfur metabolism	K00958 (K00394+K00395) (K11180+K11181)	0.333333333	FALSE	K00958	40144	None
47	WATER_MAG_00001	M00161	Photosystem II	Pathway modules	Energy metabolism	Photosynthesis	K02703+K02706+K02705+K02704+K02707+K02708	1	TRUE	K02708,K02703,K02705,K02707,K02704,K02706	24153;58191;52151;24154;3109;31080;52152	No KOfam profile for M00161
48	WATER_MAG_00001	M00163	Photosystem I	Pathway modules	Energy metabolism	Photosynthesis	K02689+K02690+K02691+K02692+K02693+K02694	1	TRUE	K02694,K02693,K02692,K02690,K02691,K02689	7974;14313;13957;7901;4653;7902	No KOfam profile for M00163
49	WATER_MAG_00001	M00144	NADH:quinone oxidoreductase, prokaryotes	Pathway modules	Energy metabolism	ATP synthesis	K00330+(K00331+K00332+K00333,K00331+K13378,K13380)+K00334+K00335+K00336+K00337+K00338+K00339+K00340+(K00341+K00342)+K00343	0.5	FALSE	K00337,K00340,K00343,K00339,K00330,K00341	62953;64458;53010;58342;64459;19479;6492	None
50	WATER_MAG_00001	M00145	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	Pathway modules	Energy metabolism	ATP synthesis	K05574+K05582+K05581+K05579+K05572+K05580+K05578+K05576+K05577+K05575+K05573-K05583-K05584-K05585	1	TRUE	K05576,K05575,K05573,K05572,K05580,K05581,K05578,K05577,K05574,K05583,K05582,K05579,K05585,K05584	64458;58179;53010;58342;62953;62952;54935;64459;6492;6493;9150;19479;6079;19478;3298;3798;13223	None
51	WATER_MAG_00001	M00149	Succinate dehydrogenase, prokaryotes	Pathway modules	Energy metabolism	ATP synthesis	K00241+(K00242,K18859,K18860)+K00239+K00240	0.5	FALSE	K00240,K00241	10276;10278	None
52	WATER_MAG_00001	M00162	Cytochrome b6f complex	Pathway modules	Energy metabolism	ATP synthesis	K02635+K02637+K02634+K02636+K02642+K02643+K03689+K02640	0.625	FALSE	K03689,K02637,K02635,K02634,K02636	32597;26888;3094;7981;7980;3093	None
53	WATER_MAG_00001	M00154	Cytochrome c oxidase	Pathway modules	Energy metabolism	ATP synthesis	(K02257+K02262+K02256+K02261+K02263+K02264+K02265+K02266+K02267+K02268+K02270-K02271+K02272-K02273+K02258+K02259+K02260)	0.133333333	FALSE	K02257,K02259	58328;58329	None
54	WATER_MAG_00001	M00155	Cytochrome c oxidase, prokaryotes	Pathway modules	Energy metabolism	ATP synthesis	K02275+(K02274+K02276,K15408)-K02277	1	TRUE	K02275,K02274,K02276	58330;58331;58332	None
55	WATER_MAG_00001	M00157	F-type ATPase, prokaryotes and chloroplasts	Pathway modules	Energy metabolism	ATP synthesis	K02111+K02112+K02113+K02114+K02115+K02108+K02109+K02110	1	TRUE	K02109,K02108,K02111,K02110,K02113,K02115,K02112,K02114	34300;34301;34298;34303;34299;34302;34304;7181;7182	None
56	WATER_MAG_00001	M00082	Fatty acid biosynthesis, initiation	Pathway modules	Lipid metabolism	Fatty acid metabolism	(K11262,(K02160+K01961,K11263)+(K01962+K01963,K18472)) (K00665,K00667+K00668,K11533,(K00645 (K00648,K18473)))	0.916666667	TRUE	K00645,K02160,K01962,K00648,K01963	46949;10878;3747;18878;11420;16629;18877	None
57	WATER_MAG_00001	M00083	Fatty acid biosynthesis, elongation	Pathway modules	Lipid metabolism	Fatty acid metabolism	K00665,(K00667 K00668),K11533,((K00647,K09458) K00059 (K02372,K01716,K16363) (K00208,K02371,K10780,K00209))	0.75	TRUE	K02372,K00059,K00208	33445;58321;18742	None
58	WATER_MAG_00001	M00873	Fatty acid biosynthesis in mitochondria, animals	Pathway modules	Lipid metabolism	Fatty acid metabolism	K18660 K03955+K00645 K09458 K11539+K13370 K22540 K07512	0.083333333	FALSE	K00645	46949;16629;18877	None
59	WATER_MAG_00001	M00874	Fatty acid biosynthesis in mitochondria, fungi	Pathway modules	Lipid metabolism	Fatty acid metabolism	K11262 K03955+K00645 K09458 K00059 K22541 K07512	0.25	FALSE	K00645,K00059	46949;58321;16629;18877	None
60	WATER_MAG_00001	M00086	beta-Oxidation, acyl-CoA synthesis	Pathway modules	Lipid metabolism	Fatty acid metabolism	K01897,K15013	1	TRUE	K01897	52144	None
61	WATER_MAG_00001	M00089	Triacylglycerol biosynthesis	Pathway modules	Lipid metabolism	Lipid metabolism	(K00629,K13506,K13507,K00630,K13508) (K00655,K13509,K13523,K19007,K13513,K13517,K13519,K14674,K22831) (K01080,K15728,K18693) (K11155,K11160,K14456,K22848,K22849)	0.25	FALSE	K00655	16630;49562	None
62	WATER_MAG_00001	M00098	Acylglycerol degradation	Pathway modules	Lipid metabolism	Lipid metabolism	(K01046,K12298,K16816,K13534,K14073,K14074,K14075,K14076,K22283,K14452,K22284,K14674,K14675,K17900) K01054	0.5	FALSE	K01046	17486;43793;58177	None
63	WATER_MAG_00001	M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	Pathway modules	Lipid metabolism	Lipid metabolism	K00981 (K00998,K17103) K01613	0.333333333	FALSE	K00981	14138	None
64	WATER_MAG_00001	M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	Pathway modules	Nucleotide metabolism	Purine metabolism	K00764 (K01945,K11787,K11788,K13713) (K00601,K11175,K08289,K11787,K01492) (K01952,(K23269+K23264+K23265),(K23270+K23265)) (K01933,K11787,K11788 (K01587,K11808,K01589 K01588)) (K01923,K01587,K13713) K01756 (K00602,(K01492,K06863 K11176))	1	TRUE	K01589,K00602,K23269,K23265,K01588,K23264,K01945,K11175,K01923,K01933,K00764,K08289,K01756	32590;64118;42878;10038;10358;10037;12501;285;12499;13971;13277;6994;12203;23464	None
65	WATER_MAG_00001	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Pathway modules	Nucleotide metabolism	Purine metabolism	K01939 K01756 (K00939,K18532,K18533,K00944) (K00940,K00873,K12406)	1	TRUE	K00873,K00940,K01939,K00939,K01756	32605;27095;59536;3818;15331;12203	None
66	WATER_MAG_00001	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	Pathway modules	Nucleotide metabolism	Purine metabolism	K00088 K01951 K00942 (K00940,K18533,K00873,K12406)	1	TRUE	K00873,K00940,K01951,K00942,K00088	32605;27095;12961;7976;15331;11845;33921	None
67	WATER_MAG_00001	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	(K11540,(K11541 K01465),((K01954,K01955+K01956) (K00609+K00610,K00608) K01465)) (K00226,K00254,K17828) (K13421,K00762 K01591)	0.75	TRUE	K00254,K01956,K00609,K00762,K01465,K01955	32751;35355;55097;2045;21670;6081;46492;47900	None
68	WATER_MAG_00001	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	(K13800,K13809,K09903) (K00940,K18533) K01937	1	TRUE	K00940,K01937,K09903	27095;11739;15331;9864	None
69	WATER_MAG_00001	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	(K00524,K00525+K00526,K10807+K10808) (K00940,K18533) (K00527,K21636) K01494 K01520 (K00560,K13998) K00943 K00940	0.625	FALSE	K00524,K00943,K00940,K01494	32289;49962;27095;29646;15331;4480	None
70	WATER_MAG_00001	M00020	Serine biosynthesis, glycerate-3P => serine	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	K00058 K00831 (K01079,K02203,K22305)	0.666666667	FALSE	K00058,K22305	60415;11306	None
71	WATER_MAG_00001	M00018	Threonine biosynthesis, aspartate => homoserine => threonine	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	(K00928,K12524,K12525,K12526) K00133 (K00003,K12524,K12525) (K00872,K02204,K02203) K01733	1	TRUE	K00872,K00133,K00003,K01733,K00928,K02204	58180;36311;14461;11720;19736;6227;40927	None
72	WATER_MAG_00001	M00033	Ectoine biosynthesis, aspartate => ectoine	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	K00928 K00133 K00836 K06718 K06720	0.4	FALSE	K00133,K00928	36311;14461;6227	None
73	WATER_MAG_00001	M00021	Cysteine biosynthesis, serine => cysteine	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	(K00640,K23304) (K01738,K13034,K17069)	0.5	FALSE	K01738,K17069	52148;40931	None
74	WATER_MAG_00001	M00609	Cysteine biosynthesis, methionine => cysteine	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	K00789 K17462 K01243 K07173 K17216 K17217	0.333333333	FALSE	K00789,K01243	13259;428	None
75	WATER_MAG_00001	M00017	Methionine biosynthesis, apartate => homoserine => methionine	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	(K00928,K12524,K12525) K00133 (K00003,K12524,K12525) (K00651,K00641) K01739 (K01760,K14155) (K00548,K24042,K00549)	0.857142857	TRUE	K00651,K00133,K00548,K00003,K00928,K01739	40932;36311;29587;14461;11720;6227;52149	None
76	WATER_MAG_00001	M00034	Methionine salvage pathway	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	K00789 K01611 K00797 ((K01243,K01244) K00899,K00772) K08963 (K16054,K08964 (K09880,K08965 K08966)) K08967 (K00815,K08969,K23977,K00832,K00838)	0.888888889	TRUE	K08964,K08967,K01611,K09880,K08963,K00797,K00772,K00789,K01243	35574;52134;13951;3091;14315;2257;16782;13259;428	None
77	WATER_MAG_00001	M00035	Methionine degradation	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	K00789 (K00558,K17398,K17399) K01251 (K01697,K10150)	0.5	FALSE	K01251,K00789	33742;13259	None
78	WATER_MAG_00001	M00368	Ethylene biosynthesis, methionine => ethylene	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	K00789 (K01762,K20772) K05933	0.333333333	FALSE	K00789	13259	None
79	WATER_MAG_00001	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	K01652+(K01653,K11258) K00053 K01687 K00826	1	TRUE	K00053,K00826,K01687,K01652,K01653	39403;29586;19601;7805;13995	None
80	WATER_MAG_00001	M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	K09011 K01703+K01704 K00052	0.5	FALSE	K00052,K01703	40074;22016	None
81	WATER_MAG_00001	M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	(K17989,K01754) K01652+(K01653,K11258) K00053 K01687 K00826	1	TRUE	K00053,K00826,K01687,K01652,K01653,K01754	39403;29586;19601;7805;13995;4765	None
82	WATER_MAG_00001	M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	K01649 (K01702,K01703+K01704) K00052	0.833333333	TRUE	K00052,K01703,K01649	40074;22016;10132	None
83	WATER_MAG_00001	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	K00826 ((K00166+K00167,K11381)+K09699+K00382) (K00253,K00249) (K01968+K01969) (K05607,K13766) K01640	0.222222222	FALSE	K00382,K00826	31123;29586	None
84	WATER_MAG_00001	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Pathway modules	Amino acid metabolism	Lysine metabolism	(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K00674 (K00821,K14267) K01439 K01778 (K01586,K12526)	0.777777778	TRUE	K00133,K00215,K00821,K01714,K01586,K01778,K00928	36311;58562;31119;14461;14810;15121;14132;2708;6227;17437	None
85	WATER_MAG_00001	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	Pathway modules	Amino acid metabolism	Lysine metabolism	K00928 K00133 K01714 K00215 K05822 K00841 K05823 K01778 K01586	0.666666667	FALSE	K00133,K00215,K01714,K01586,K01778,K00928	36311;58562;14461;14810;15121;14132;2708;6227;17437	None
