assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	new_name	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCA_000522465.1	PRJNA232856	SAMN02641481	JABW00000000.1		na	assembly from type material	1442598	255507	Arcobacter cibarius LMG 21996	strain=LMG 21996		Arcobacter_cibarius_LMG_21996	latest	Contig	Major	Full	1/23/14	Arcobacter_cibarius_LMG21996	Agriculture and Agri-Food Canada	GCF_000522465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/522/465/GCA_000522465.1_Arcobacter_cibarius_LMG21996	./00_Arcobacter_Genbank/genbank/bacteria/GCA_000522465.1/GCA_000522465.1_Arcobacter_cibarius_LMG21996_genomic.gbff.gz
GCA_004115805.1	PRJNA412344	SAMN07709793	NXII00000000.1		na	assembly from type material	1054034	1054034	Arcobacter cloacae	strain=CECT 7834		Arcobacter_cloacae_CECT_7834	latest	Contig	Major	Full	1/28/19	ASM411580v1	Universitat Rovira i Virgili	GCF_004115805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/805/GCA_004115805.1_ASM411580v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004115805.1/GCA_004115805.1_ASM411580v1_genomic.gbff.gz
GCA_004116535.1	PRJNA412344	SAMN07767222	PDJZ00000000.1		representative genome		1054034	1054034	Arcobacter cloacae	strain=F26		Arcobacter_cloacae_F26	latest	Contig	Major	Full	1/29/19	ASM411653v1	Universitat Rovira i Virgili	GCF_004116535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/535/GCA_004116535.1_ASM411653v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004116535.1/GCA_004116535.1_ASM411653v1_genomic.gbff.gz
GCA_013201935.1	PRJNA284964	SAMN03737947			na		1054034	1054034	Arcobacter cloacae	strain=LMG 26153		Arcobacter_cloacae_LMG_26153	latest	Complete Genome	Major	Full	6/1/20	ASM1320193v1	USDA, ARS, WRRC	GCF_013201935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/201/935/GCA_013201935.1_ASM1320193v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_013201935.1/GCA_013201935.1_ASM1320193v1_genomic.gbff.gz
GCA_003660105.1	PRJNA66817	SAMN03737948			na	assembly from type material	1032070	28198	Arcobacter cryaerophilus ATCC 43158	strain=ATCC 43158		Arcobacter_cryaerophilus_ATCC_43158_ATCC_43158	latest	Complete Genome	Major	Full	10/16/18	ASM366010v1	USDA, ARS, WRRC	GCF_003660105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/660/105/GCA_003660105.1_ASM366010v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003660105.1/GCA_003660105.1_ASM366010v1_genomic.gbff.gz
GCA_006165035.1	PRJNA294647	SAMN04027997			na	assembly from type material	1032070	28198	Arcobacter cryaerophilus ATCC 43158	strain=LMG 9904		Arcobacter_cryaerophilus_ATCC_43158_LMG_9904	latest	Chromosome	Major	Full	6/10/19	ASM616503v1	Ghent University	GCF_006165035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/165/035/GCA_006165035.1_ASM616503v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_006165035.1/GCA_006165035.1_ASM616503v1_genomic.gbff.gz
GCA_003660085.1	PRJNA66819	SAMN03737949			na		1032071	28198	Arcobacter cryaerophilus D2610	strain=D2610		Arcobacter_cryaerophilus_D2610	latest	Complete Genome	Major	Full	10/16/18	ASM366008v1	USDA, ARS, WRRC	GCF_003660085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/660/085/GCA_003660085.1_ASM366008v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003660085.1/GCA_003660085.1_ASM366008v1_genomic.gbff.gz
GCA_004115775.1	PRJNA412344	SAMN07709794	NXIH00000000.1		representative genome	assembly from type material	873191	873191	Arcobacter defluvii	strain=CECT 7697		Arcobacter_defluvii_CECT_7697	latest	Contig	Major	Full	1/28/19	ASM411577v1	Universitat Rovira i Virgili	GCF_004115775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/775/GCA_004115775.1_ASM411577v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004115775.1/GCA_004115775.1_ASM411577v1_genomic.gbff.gz
GCA_013201725.1	PRJNA284965	SAMN03737950			na		873191	873191	Arcobacter defluvii	strain=LMG 25694		Arcobacter_defluvii_LMG_25694	latest	Complete Genome	Major	Full	6/1/20	ASM1320172v1	USDA, ARS, WRRC	GCF_013201725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/201/725/GCA_013201725.1_ASM1320172v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_013201725.1/GCA_013201725.1_ASM1320172v1_genomic.gbff.gz
GCA_003544915.1	PRJNA284966	SAMN03737951			representative genome	assembly from type material	913109	913109	Arcobacter ellisii	strain=LMG 26155		Arcobacter_ellisii_LMG_26155	latest	Complete Genome	Major	Full	9/11/18	ASM354491v1	USDA, ARS, WRRC	GCF_003544915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/544/915/GCA_003544915.1_ASM354491v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003544915.1/GCA_003544915.1_ASM354491v1_genomic.gbff.gz
GCA_004115815.1	PRJNA412344	SAMN07709795	NXIG00000000.1		na	assembly from type material	913109	913109	Arcobacter ellisii	strain=CECT 7837		Arcobacter_ellisii_CECT_7837	latest	Contig	Major	Full	1/28/19	ASM411581v1	Universitat Rovira i Virgili	GCF_004115815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/815/GCA_004115815.1_ASM411581v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004115815.1/GCA_004115815.1_ASM411581v1_genomic.gbff.gz
GCA_002837275.1	PRJNA412344	SAMN07709796	NXIF00000000.1		na	assembly from type material	197482	197482	Arcobacter halophilus	strain=DSM 18005		Arcobacter_halophilus_DSM_18005	latest	Scaffold	Major	Full	12/12/17	ASM283727v1	Universitat Rovira i Virgili	GCF_002837275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/837/275/GCA_002837275.1_ASM283727v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002837275.1/GCA_002837275.1_ASM283727v1_genomic.gbff.gz
GCA_003346755.1	PRJNA284967	SAMN03737952			representative genome		197482	197482	Arcobacter halophilus	strain=CCUG 53805		Arcobacter_halophilus_CCUG_53805	latest	Complete Genome	Major	Full	7/31/18	ASM334675v1	USDA, ARS, WRRC	GCF_003346755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/346/755/GCA_003346755.1_ASM334675v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003346755.1/GCA_003346755.1_ASM334675v1_genomic.gbff.gz
GCA_004135665.1	PRJNA412344	SAMN07767223	PDJY00000000.1		na		197482	197482	Arcobacter halophilus	strain=F166-45		Arcobacter_halophilus_F166_45	latest	Contig	Major	Full	2/4/19	ASM413566v1	Universitat Rovira i Virgili	GCF_004135665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/135/665/GCA_004135665.1_ASM413566v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_004135665.1/GCA_004135665.1_ASM413566v1_genomic.gbff.gz
GCA_000585115.1	PRJNA235329	SAMN02951874	JARU00000000.1		representative genome	assembly from type material	1355374	1355374	Arcobacter lanthieri	strain=AF1440		Arcobacter_lanthieri_AF1440	latest	Contig	Major	Full	3/3/14	Arcobacter_lanthierii_AF1440	Agriculture and Agri-Food Canada	GCF_000585115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/585/115/GCA_000585115.1_Arcobacter_lanthierii_AF1440	./00_Arcobacter_Genbank/genbank/bacteria/GCA_000585115.1/GCA_000585115.1_Arcobacter_lanthierii_AF1440_genomic.gbff.gz
GCA_000585195.1	PRJNA235330	SAMN02951875	JARV00000000.1		na		1355374	1355374	Arcobacter lanthieri	strain=AF1581		Arcobacter_lanthieri_AF1581	latest	Scaffold	Major	Full	3/4/14	Arcobacter_lanthierii_AF1581	Agriculture and Agri-Food Canada	GCF_000585195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/585/195/GCA_000585195.1_Arcobacter_lanthierii_AF1581	./00_Arcobacter_Genbank/genbank/bacteria/GCA_000585195.1/GCA_000585195.1_Arcobacter_lanthierii_AF1581_genomic.gbff.gz
GCA_000648635.1	PRJNA235327	SAMN02732399	JATO00000000.1		na		1355374	1355374	Arcobacter lanthieri	strain=AF1430		Arcobacter_lanthieri_AF1430	latest	Scaffold	Major	Full	4/30/14	Arcobacter_lanthierii_AF1430	Agriculture and Agri-Food Canada	GCF_000648635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/648/635/GCA_000648635.1_Arcobacter_lanthierii_AF1430	./00_Arcobacter_Genbank/genbank/bacteria/GCA_000648635.1/GCA_000648635.1_Arcobacter_lanthierii_AF1430_genomic.gbff.gz
GCA_013201625.1	PRJNA521382	SAMN10884414			na		1355374	1355374	Arcobacter lanthieri	strain=LMG 28516		Arcobacter_lanthieri_LMG_28516	latest	Complete Genome	Major	Full	6/1/20	ASM1320162v1	USDA, ARS, WRRC	GCF_013201625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/201/625/GCA_013201625.1_ASM1320162v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_013201625.1/GCA_013201625.1_ASM1320162v1_genomic.gbff.gz
GCA_001878855.1	PRJNA315279	SAMN04555171	MKCO00000000.1		representative genome	assembly from type material	1904463	1904463	Arcobacter lekithochrous	strain=LFT 1.7		Arcobacter_lekithochrous_LFT_1_7	latest	Contig	Major	Full	11/14/16	ASM187885v1	Universidad de Santiago de Compostela	GCF_001878855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/878/855/GCA_001878855.1_ASM187885v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_001878855.1/GCA_001878855.1_ASM187885v1_genomic.gbff.gz
GCA_003049765.1	PRJNA448508	SAMN08848610	PZYW00000000.1		na	assembly from synonym type material	1904463	1904463	Arcobacter lekithochrous	strain=LMG 28652		Arcobacter_lekithochrous_LMG_28652	latest	Contig	Major	Full	4/12/18	ASM304976v1	University of Santiago de Compostela	GCF_003049765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/049/765/GCA_003049765.1_ASM304976v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_003049765.1/GCA_003049765.1_ASM304976v1_genomic.gbff.gz
GCA_013283835.1	PRJNA521384	SAMN10884415			na		1904463	1904463	Arcobacter lekithochrous	strain=DSM 100870		Arcobacter_lekithochrous_DSM_100870	latest	Complete Genome	Major	Full	6/7/20	ASM1328383v1	USDA, ARS, WRRC	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/835/GCA_013283835.1_ASM1328383v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_013283835.1/GCA_013283835.1_ASM1328383v1_genomic.gbff.gz
GCA_002723475.1	PRJNA369468	SAMN07360937	NWVX00000000.1		na		505249	505249	Arcobacter marinus	strain=F140-37		Arcobacter_marinus_F140_37	latest	Contig	Major	Full	10/24/17	ASM272347v1	Universitat Rovira i Virgili	GCF_002723475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/723/475/GCA_002723475.1_ASM272347v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002723475.1/GCA_002723475.1_ASM272347v1_genomic.gbff.gz
GCA_002723495.1	PRJNA411818	SAMN07688432	NXAO00000000.1		na		505249	505249	Arcobacter marinus	strain=CECT 7727		Arcobacter_marinus_CECT_7727	latest	Contig	Major	Full	10/24/17	ASM272349v1	Universitat Rovira i Virgili	GCF_002723495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/723/495/GCA_002723495.1_ASM272349v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002723495.1/GCA_002723495.1_ASM272349v1_genomic.gbff.gz
GCA_002934525.1	PRJNA369869	SAMN06295946	PTIW00000000.1		na		505249	505249	Arcobacter marinus	strain=MARC-MIP3H16		Arcobacter_marinus_MARC_MIP3H16	latest	Scaffold	Major	Full	2/21/18	ASM293452v1	DOE Joint Genome Institute	GCF_002934525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/934/525/GCA_002934525.1_ASM293452v1	./00_Arcobacter_Genbank/genbank/bacteria/GCA_002934525.1/GCA_002934525.1_ASM293452v1_genomic.gbff.gz
