genome_id	isolation_category	organism	strain_or_isolate	sample_information	bioproject	biosample	assembly_accession	taxid	species_taxid	doi_publication	assembly_level	seq_rel_date	ftp_path	submitter
Arcobacter_lekithochrous_LFT_1_7	invertebrate_host	Arcobacter lekithochrous	LFT 1.7	scallop larvae	PRJNA315279	SAMN04555171	GCA_001878855.1	1904463	1904463	doi.org/10.1099/ijsem.0.001809	Contig	11/14/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/878/855/GCA_001878855.1_ASM187885v1	Universidad de Santiago de Compostela
Arcobacter_lekithochrous_LMG_28652	invertebrate_host	Arcobacter lekithochrous	LMG 28652	Haliotis gigantea	PRJNA448508	SAMN08848610	GCA_003049765.1	505249	1904463	doi.org/10.1099/ijsem.0.002909	Contig	4/12/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/049/765/GCA_003049765.1_ASM304976v1	University of Santiago de Compostela
Arcobacter_marinus_CECT_7727	marine_surface	Arcobacter marinus	CECT 7727	Sea water	PRJNA411818	SAMN07688432	GCA_002723495.1	505249	505249	doi.org/10.3389/fmicb.2018.02077	Contig	10/24/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/723/495/GCA_002723495.1_ASM272349v1	Universitat Rovira i Virgili
Arcobacter_marinus_F140_37	invertebrate_host	Arcobacter marinus	F140-37	clams	PRJNA369468	SAMN07360937	GCA_002723475.1	505249	505249	doi.org/10.3389/fmicb.2018.02077	Contig	10/24/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/723/475/GCA_002723475.1_ASM272347v1	Universitat Rovira i Virgili
Arcobacter_marinus_MARC_MIP3H16	marine_subsurface	Arcobacter marinus	MARC-MIP3H16	no data	PRJNA369869	SAMN06295946	GCA_002934525.1	505249	505249	doi.org/10.1128/genomeA.00159-18	Scaffold	2/21/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/934/525/GCA_002934525.1_ASM293452v1	DOE Joint Genome Institute
Arcobacter_marinus_SH_4D_Col1	marine_subsurface	Arcobacter marinus	UTICA-S4D1	no data	PRJEB19698	SAMN06295997	GCA_900168035.1	870501	505249	doi.org/10.1128/genomeA.00159-18	Scaffold	3/8/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/168/035/GCA_900168035.1_IMG-taxon_2703719342_annotated_assembly	DOE - JOINT GENOME INSTITUTE
Arcobacter_molluscorum_LMG_25693_F98_3	invertebrate_host	Arcobacter molluscorum LMG 25693	F98-3	Mussel	PRJNA412151	SAMN07701800	GCA_002701265.1	1032238	1032072	doi.org/10.3389/fmicb.2018.02077	Contig	10/24/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/701/265/GCA_002701265.1_ASM270126v1	Universitat Rovira i Virgili
Arcobacter_mytili_LMG_24559	invertebrate_host	Arcobacter mytili LMG 24559	LMG 24559	Mussels	PRJNA66823	SAMN03737955	GCA_003346775.1	572480	603050	doi.org/10.1128/MRA.01078-18	Complete Genome	7/31/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/346/775/GCA_003346775.1_ASM334677v1	USDA, ARS, WRRC
Arcobacter_nitrofigilis_DSM_7299	marine_subsurface	Arcobacter nitrofigilis DSM 7299	DSM 7299	roots of the marshplant Spartina alterniflora in Nova Scotia, Canada	PRJNA32593	SAMN02598489	GCA_000092245.1	1080223	28199	doi.org/10.4056/sigs.912121	Complete Genome	5/17/10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/245/GCA_000092245.1_ASM9224v1	US DOE Joint Genome Institute (JGI-PGF)
Arcobacter_pacificus_LMG_26638	marine_surface	Arcobacter pacificus	LMG 26638	Seawater surface	PRJNA521385	SAMN10884416	GCA_004214795.1	2320140	1080223	doi.org/10.1099/ijsem.0.000751	Complete Genome	2/20/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/214/795/GCA_004214795.1_ASM421479v1	USDA, ARS, WRRC
Arcobacter_peruensis_PSE_93	marine_surface	Arcobacter peruensis	PSE-93	Peruvian upwelling	PRJNA490269	SAMN10031634	GCA_003711085.1	1032239	2320140	doi.org/10.1128/AEM.01344-19	Chromosome	11/5/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/711/085/GCA_003711085.1_ASM371108v1	Max Planck Institute for Marine Microbiology
Arcobacter_skirrowii_CCUG_10374_B	vertebrate_host	Arcobacter skirrowii CCUG 10374	CCUG 10374	lamb|feces, 5-month-old, persistent scour (diarrhoea)	PRJNA563568	SAMN12697556	GCA_008802155.1	1355368	28200	doi.org/10.1099/00207713-42-3-344	Contig	10/1/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/802/155/GCA_008802155.1_ASM880215v1	University of Gothenburg - CCUG
Arcobacter_sp_AF1028	sewage	Arcobacter sp. AF1028	AF1028	Homo sapiens|human sewage tank no 5	PRJNA235195	SAMN02951873	GCA_000585175.1	1872629	1355368	doi.org/10.1128/genomeA.00113-14	Scaffold	3/4/14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/585/175/GCA_000585175.1_Arcobacter_septicus_AF1028	Agriculture and Agri-Food Canada
Arcobacter_sp_BM102	marine_subsurface	Arcobacter sp.	BM102	enrichment from estuary sediment|bioreactor metagenome	PRJNA387015	SAMN07982695	GCA_002869565.1	2044508	1872629	no pub	Scaffold	1/9/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/565/GCA_002869565.1_ASM286956v1	University of California, Berkeley
Arcobacter_sp_CECT_8983	invertebrate_host	Arcobacter sp. CECT 8983	CECT 8983	cockle	PRJNA412344	SAMN07767216	GCA_004118855.1	1935424	2044508	doi.org/10.3389/fmicb.2018.02077	Scaffold	1/29/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/118/855/GCA_004118855.1_ASM411885v1	Universitat Rovira i Virgili
Arcobacter_sp_CECT_8985	invertebrate_host	Arcobacter sp. CECT 8985	CECT 8985	mussel	PRJNA412344	SAMN07767219	GCA_004116495.1	2044507	1935424	doi.org/10.3389/fmicb.2018.02077	Contig	1/29/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/495/GCA_004116495.1_ASM411649v1	Universitat Rovira i Virgili
Arcobacter_sp_CECT_8986	invertebrate_host	Arcobacter sp. CECT 8986	CECT 8986	mussel	PRJNA412344	SAMN07767215	GCA_004116725.1	2044509	2044507	doi.org/10.3389/fmicb.2018.02077	Contig	1/29/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/725/GCA_004116725.1_ASM411672v1	Universitat Rovira i Virgili
Arcobacter_sp_CECT_8989	invertebrate_host	Arcobacter sp. CECT 8989	CECT 8989	oyster	PRJNA412344	SAMN07767217	GCA_004116715.1	2044505	2044509	doi.org/10.3389/fmicb.2018.02077	Contig	1/29/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/715/GCA_004116715.1_ASM411671v1	Universitat Rovira i Virgili
Arcobacter_sp_CECT_9188	sewage	Arcobacter sp. CECT 9188	CECT 9188	wastewater	PRJNA412344	SAMN07767213	GCA_003316735.1	2044510	2044505	doi.org/10.3389/fmicb.2018.02077	Contig	7/13/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/735/GCA_003316735.1_ASM331673v1	Universitat Rovira i Virgili
Arcobacter_sp_CECT_9230	plant	Arcobacter sp. CECT 9230	CECT 9230	carrot	PRJNA412344	SAMN07767220	GCA_003316695.1	2044506	2044510	doi.org/10.1016/j.syapm.2020.126091	Contig	7/13/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/695/GCA_003316695.1_ASM331669v1	Universitat Rovira i Virgili
Arcobacter_sp_CECT_9299	vertebrate_host/marine	Arcobacter sp. CECT 9299	CECT 9299	elephant seal|cloacal swab	PRJNA412344	SAMN07767214	GCA_004116575.1	2044512	2044506	doi.org/10.3389/fmicb.2018.02077	Contig	1/29/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/575/GCA_004116575.1_ASM411657v1	Universitat Rovira i Virgili
Arcobacter_sp_F155	invertebrate_host	Arcobacter sp. F155	F155	oyster	PRJNA412344	SAMN07767227	GCA_004116455.1	2044511	2044512	doi.org/10.3389/fmicb.2018.02077	Contig	1/29/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/455/GCA_004116455.1_ASM411645v1	Universitat Rovira i Virgili
Arcobacter_sp_F2176	invertebrate_host	Arcobacter sp. F2176	F2176	mussel	PRJNA412344	SAMN07767226	GCA_004116465.1	1912879	2044511	doi.org/10.3389/fmicb.2018.02077	Contig	1/29/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/465/GCA_004116465.1_ASM411646v1	Universitat Rovira i Virgili
Arcobacter_sp_FW59	sewage	Arcobacter sp. FW59	FW59	wastewater	PRJNA412344	SAMN07767221	GCA_003316685.1	944547	1912879	doi.org/10.3389/fmicb.2018.02077	Contig	7/13/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/685/GCA_003316685.1_ASM331668v1	Universitat Rovira i Virgili
Arcobacter_sp_L	fuel_cell	Arcobacter sp. L	L	no data	PRJDA61721	SAMD00060981	GCA_000284235.1	1898176	944547	doi.org/10.1128/JB.06084-11	Complete Genome	9/2/11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/235/GCA_000284235.1_ASM28423v1	Center for Computational and Quantitative Life Science, RIKEN
Arcobacter_sp_LA11	invertebrate_host	Arcobacter sp. LA11	LA11	Haliotis discus	PRJDB5254	SAMD00065689	GCA_001895145.1	2027466	1898176	doi.org/10.1128/genomeA.00032-17	Contig	11/7/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/895/145/GCA_001895145.1_ASM189514v1	Graduate School of Bioresources, Mie University
Arcobacter_sp_LMG_29976	vertebrate_host	Arcobacter sp. LMG 29976	LMG 29976	Porcine|Eye, aborted fetus	PRJNA369468	SAMN07515816	GCA_002992985.1	1850254	2027466	doi.org/10.3389/fmicb.2018.02077	Contig	3/9/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/992/985/GCA_002992985.1_ASM299298v1	Universitat Rovira i Virgili
Arcobacter_sp_LPB0137	unknown	Arcobacter sp. LPB0137	LPB0137	environment	PRJNA355602	SAMN06075356	GCA_001956695.1	1912876	1850254	no pub	Complete Genome	1/18/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/956/695/GCA_001956695.1_ASM195669v1	Korea University
Arcobacter_sp_RW43_9	sewage	Arcobacter sp. RW43-9	RW43-9	reclaimed water	PRJNA369468	SAMN06286567	GCA_003063295.1	2478538	1912876	doi.org/10.3389/fmicb.2018.02077	Scaffold	4/23/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/063/295/GCA_003063295.1_ASM306329v1	Universitat Rovira i Virgili
Arcobacter_sp_SM1702	marine_subsurface	Arcobacter sp. SM1702	SM1702	Antarctic intertidal sediment	PRJNA495891	SAMN10233606	GCA_003667345.1	663365	2478538	doi.org/10.1099/ijsem.0.003539	Scaffold	10/19/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/667/345/GCA_003667345.1_ASM366734v1	Shandong University
Arcobacter_suis_CECT_7833	vertebrate_host	Arcobacter suis CECT 7833	CECT 7833	Pork meat	PRJNA177174	SAMN03737957	GCA_003544815.1	1032240	1278212	doi.org/10.1016/j.syapm.2012.11.003	Complete Genome	9/11/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/544/815/GCA_003544815.1_ASM354481v1	USDA, ARS, WRRC
Arcobacter_thereius_LMG_24486_B	vertebrate_host	Arcobacter thereius LMG 24486	LMG 24486	pig|aborted fetus	PRJNA66829	SAMN03737958	GCA_004214815.1	1032241	544718	dx.doi.org/10.1016%2Fj.nmni.2016.11.014	Complete Genome	2/20/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/214/815/GCA_004214815.1_ASM421481v1	USDA, ARS, WRRC
Arcobacter_trophiarum_LMG_25534_B	vertebrate_host	Arcobacter trophiarum LMG 25534	LMG 25534	piglet|feces	PRJNA412344	SAMN07767218	GCA_004116585.1	1054033	708186	doi.org/10.3389/fmicb.2018.02077	Contig	1/29/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/585/GCA_004116585.1_ASM411658v1	Universitat Rovira i Virgili
Arcobacter_venerupis_CECT7836	invertebrate_host	Arcobacter venerupis	CECT7836	clam	PRJNA369468	SAMN07514161	GCA_004023405.1	663364	1054033	doi.org/10.3389/fmicb.2018.02077	Contig	1/15/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/405/GCA_004023405.1_ASM402340v1	Universitat Rovira i Virgili
Halarcobacter_bivalviorum_CECT_7835	invertebrate_host	Halarcobacter bivalviorum	CECT 7835	mussel	PRJNA412344	SAMN07767209	GCA_004116675.1	663364	663364	doi.org/10.3389/fmicb.2018.02077	Contig	1/29/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/675/GCA_004116675.1_ASM411667v1	Universitat Rovira i Virgili
Halarcobacter_bivalviorum_F118_4	invertebrate_host	Halarcobacter bivalviorum	F118-4	mussel	PRJNA412344	SAMN07767210	GCA_004116705.1	1462615	663364	doi.org/10.3389/fmicb.2018.02077	Contig	1/29/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/705/GCA_004116705.1_ASM411670v1	Universitat Rovira i Virgili
Halarcobacter_ebronensis_CECT_8441	invertebrate_host	Halarcobacter ebronensis	CECT 8441	mussel	PRJNA412344	SAMN07767211	GCA_004116565.1	1462615	1462615	doi.org/10.3389/fmicb.2018.02077	Scaffold	1/29/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/565/GCA_004116565.1_ASM411656v1	Universitat Rovira i Virgili
Halarcobacter_ebronensis_CECT_8993	marine_surface	Halarcobacter ebronensis	CECT 8993	wastewater	PRJNA412344	SAMN07767212	GCA_004116325.1	2023153	1462615	doi.org/10.3389/fmicb.2018.02077	Contig	1/28/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/325/GCA_004116325.1_ASM411632v1	Universitat Rovira i Virgili
Halarcobacter_mediterraneus_F156_34	invertebrate_host	Halarcobacter mediterraneus	F156-34	Mussels	PRJNA412344	SAMN07709797	GCA_004116625.1	2654171	2023153	doi.org/10.3389/fmicb.2018.02077	Contig	1/29/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/625/GCA_004116625.1_ASM411662v1	Universitat Rovira i Virgili
Poseidonibacter_sp_JOD_M_6	invertebrate_host	Poseidonibacter sp. JOD-M-6	JOD-M-6	Ostrea denselamellosa|gut	PRJNA576937	SAMN13015299	GCA_009208055.1	2654172	2654171	no pub	Contig	10/21/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/208/055/GCA_009208055.1_ASM920805v1	Nakdonggang National Institute of Biological Resources
Poseidonibacter_sp_SJOD_M_33	invertebrate_host	Poseidonibacter sp. SJOD-M-33	SJOD-M-33	Ostrea denselamellosa|gut	PRJNA576937	SAMN13015364	GCA_009208075.1	2654173	2654172	no pub	Contig	10/21/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/208/075/GCA_009208075.1_ASM920807v1	Nakdonggang National Institute of Biological Resources
Poseidonibacter_sp_SJOD_M_5	invertebrate_host	Poseidonibacter sp. SJOD-M-5	SJOD-M-5	Ostrea denselamellosa|gut	PRJNA576937	SAMN13015372	GCA_009208095.1	1849015	2654173	no pub	Contig	10/21/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/208/095/GCA_009208095.1_ASM920809v1	Nakdonggang National Institute of Biological Resources
Pseudoarcobacter_acticola_KCTC_52212	marine_surface	Pseudoarcobacter acticola	KCTC 52212	seawater	PRJNA558024	SAMN12421736	GCA_013177675.1	1912877	1849015	doi.org/10.1007/s12275-016-6268-4	Complete Genome	5/27/20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/177/675/GCA_013177675.1_ASM1317767v1	USDA, ARS, WRRC
Pseudoarcobacter_caeni_RW17_10	sewage	Pseudoarcobacter caeni	RW17-10	reclaimed water	PRJNA369468	SAMN06286566	GCA_003063245.1	563040	1912877	doi.org/10.3389/fmicb.2018.02077	Contig	4/23/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/063/245/GCA_003063245.1_ASM306324v1	Universitat Rovira i Virgili
Sulfurimonas_autotrophica_DSM_16294	outgroup	Sulfurimonas autotrophica DSM 16294	DSM 16294	no data	PRJNA31347	SAMN00713560	GCA_000147355.1	326298	202747	doi.org/10.4056/sigs.1173118	Complete Genome	9/15/10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/355/GCA_000147355.1_ASM14735v1	US DOE Joint Genome Institute (JGI-PGF)
