assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCA_013283165.1	PRJNA575125	SAMN12878182	WBXQ00000000.1		na		2651822	2651822	Aliiroseovarius sp. xm-a-104	strain=xm-a-104		latest	Contig	Major	Full	2020/06/06	ASM1328316v1	The Chinese University of Hong Kong	GCF_013283165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/165/GCA_013283165.1_ASM1328316v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_013283165.1/GCA_013283165.1_ASM1328316v1_genomic.gbff.gz
GCA_013283605.1	PRJNA575125	SAMN12878183	WBXR00000000.1		na		2651823	2651823	Aliiroseovarius sp. xm-a-134	strain=xm-a-134		latest	Contig	Major	Full	2020/06/06	ASM1328360v1	The Chinese University of Hong Kong	GCF_013283605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/605/GCA_013283605.1_ASM1328360v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_013283605.1/GCA_013283605.1_ASM1328360v1_genomic.gbff.gz
GCA_013283585.1	PRJNA575125	SAMN12878184	WBXS00000000.1		na		2651824	2651824	Aliiroseovarius sp. xm-a-151	strain=xm-a-151		latest	Contig	Major	Full	2020/06/06	ASM1328358v1	The Chinese University of Hong Kong	GCF_013283585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/585/GCA_013283585.1_ASM1328358v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_013283585.1/GCA_013283585.1_ASM1328358v1_genomic.gbff.gz
GCA_013283135.1	PRJNA575125	SAMN12878185	WBXT00000000.1		na		2651825	2651825	Aliiroseovarius sp. xm-d-517	strain=xm-d-517		latest	Contig	Major	Full	2020/06/06	ASM1328313v1	The Chinese University of Hong Kong	GCF_013283135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/135/GCA_013283135.1_ASM1328313v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_013283135.1/GCA_013283135.1_ASM1328313v1_genomic.gbff.gz
GCA_013283535.1	PRJNA575125	SAMN12878186	WBXU00000000.1		na		2651826	2651826	Aliiroseovarius sp. xm-g-7	strain=xm-g-7		latest	Contig	Major	Full	2020/06/06	ASM1328353v1	The Chinese University of Hong Kong	GCF_013283535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/535/GCA_013283535.1_ASM1328353v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_013283535.1/GCA_013283535.1_ASM1328353v1_genomic.gbff.gz
GCA_013283525.1	PRJNA575125	SAMN12878187	WBXV00000000.1		na		2651827	2651827	Aliiroseovarius sp. xm-m-309	strain=xm-m-309		latest	Contig	Major	Full	2020/06/06	ASM1328352v1	The Chinese University of Hong Kong	GCF_013283525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/525/GCA_013283525.1_ASM1328352v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_013283525.1/GCA_013283525.1_ASM1328352v1_genomic.gbff.gz
GCA_013283115.1	PRJNA575125	SAMN12878188	WBXW00000000.1		na		2651828	2651828	Aliiroseovarius sp. xm-m-314	strain=xm-m-314		latest	Contig	Major	Full	2020/06/06	ASM1328311v1	The Chinese University of Hong Kong	GCF_013283115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/115/GCA_013283115.1_ASM1328311v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_013283115.1/GCA_013283115.1_ASM1328311v1_genomic.gbff.gz
GCA_013283095.1	PRJNA575125	SAMN12878189	WBXX00000000.1		na		2651829	2651829	Aliiroseovarius sp. xm-m-339-2	strain=xm-m-339-2		latest	Contig	Major	Full	2020/06/06	ASM1328309v1	The Chinese University of Hong Kong	GCF_013283095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/095/GCA_013283095.1_ASM1328309v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_013283095.1/GCA_013283095.1_ASM1328309v1_genomic.gbff.gz
GCA_013283075.1	PRJNA575125	SAMN12878190	WBXY00000000.1		na		2651830	2651830	Aliiroseovarius sp. xm-m-354	strain=xm-m-354		latest	Contig	Major	Full	2020/06/06	ASM1328307v1	The Chinese University of Hong Kong	GCF_013283075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/075/GCA_013283075.1_ASM1328307v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_013283075.1/GCA_013283075.1_ASM1328307v1_genomic.gbff.gz
GCA_013283055.1	PRJNA575125	SAMN12878191	WBXZ00000000.1		na		2651831	2651831	Aliiroseovarius sp. xm-m-378	strain=xm-m-378		latest	Contig	Major	Full	2020/06/06	ASM1328305v1	The Chinese University of Hong Kong	GCF_013283055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/055/GCA_013283055.1_ASM1328305v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_013283055.1/GCA_013283055.1_ASM1328305v1_genomic.gbff.gz
GCA_013283035.1	PRJNA575125	SAMN12878192	WBYA00000000.1		na		2651832	2651832	Aliiroseovarius sp. xm-m-379	strain=xm-m-379		latest	Contig	Major	Full	2020/06/06	ASM1328303v1	The Chinese University of Hong Kong	GCF_013283035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/035/GCA_013283035.1_ASM1328303v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_013283035.1/GCA_013283035.1_ASM1328303v1_genomic.gbff.gz
GCA_013283565.1	PRJNA575125	SAMN12878193	WBYB00000000.1		na		2651833	2651833	Aliiroseovarius sp. xm-v-201	strain=xm-v-201		latest	Contig	Major	Full	2020/06/06	ASM1328356v1	The Chinese University of Hong Kong	GCF_013283565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/565/GCA_013283565.1_ASM1328356v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_013283565.1/GCA_013283565.1_ASM1328356v1_genomic.gbff.gz
GCA_013283495.1	PRJNA575125	SAMN12878194	WBYC00000000.1		na		2651834	2651834	Aliiroseovarius sp. xm-v-204	strain=xm-v-204		latest	Contig	Major	Full	2020/06/06	ASM1328349v1	The Chinese University of Hong Kong	GCF_013283495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/495/GCA_013283495.1_ASM1328349v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_013283495.1/GCA_013283495.1_ASM1328349v1_genomic.gbff.gz
GCA_013283485.1	PRJNA575125	SAMN12878195	WBYD00000000.1		na		2651835	2651835	Aliiroseovarius sp. xm-v-208	strain=xm-v-208		latest	Contig	Major	Full	2020/06/06	ASM1328348v1	The Chinese University of Hong Kong	GCF_013283485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/485/GCA_013283485.1_ASM1328348v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_013283485.1/GCA_013283485.1_ASM1328348v1_genomic.gbff.gz
GCA_013283465.1	PRJNA575125	SAMN12878196	WBYE00000000.1		na		2651836	2651836	Aliiroseovarius sp. xm-v-209	strain=xm-v-209		latest	Contig	Major	Full	2020/06/06	ASM1328346v1	The Chinese University of Hong Kong	GCF_013283465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/465/GCA_013283465.1_ASM1328346v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_013283465.1/GCA_013283465.1_ASM1328346v1_genomic.gbff.gz
GCA_013283445.1	PRJNA575125	SAMN12878197	WBYF00000000.1		na		2651837	2651837	Aliiroseovarius sp. xm-v-225	strain=xm-v-225		latest	Contig	Major	Full	2020/06/06	ASM1328344v1	The Chinese University of Hong Kong	GCF_013283445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/445/GCA_013283445.1_ASM1328344v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_013283445.1/GCA_013283445.1_ASM1328344v1_genomic.gbff.gz
GCA_010500215.1	PRJNA604869	SAMN14001050	JAAGOY000000000.1		na		2706883	2706883	Aliiroseovarius sp. PrR006	strain=PrR006		latest	Contig	Major	Full	2020/02/12	ASM1050021v1	Shantou University	GCF_010500215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/500/215/GCA_010500215.1_ASM1050021v1	./00_Aliiroseovarius_Genbank/genbank/bacteria/GCA_010500215.1/GCA_010500215.1_ASM1050021v1_genomic.gbff.gz
